Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0335300059924000006;Запрос котировок в электронной форме;Товары хозяйственно-бытового назначения;;'243390461269039060100101130010000244';;;235851.90;RUB;;;;;"22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.119-00000017: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских)";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД КАЛИНИНГРАД"" ""СЛУЖБА АДМИНИСТРАТИВНО-ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД КАЛИНИНГРАД"" ""СЛУЖБА АДМИНИСТРАТИВНО-ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ""";03.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";03.04.2024;10.04.2024;
44-ФЗ;№0372200169524000005;Электронный аукцион;Поставка моющих и хозяйственных средств для ГБОУ школа №325 Фрунзенского района в 2024 году;;'242781616447978160100100010040000000';;;70895.60;RUB;;;;;"20.41.32.119: Средства моющие прочие; 20.41.32.113: Средства моющие для окон; 20.41.41.000: Средства для дезодорирования и ароматизации воздуха в помещениях; 22.19.60.119: Перчатки резиновые прочие; 20.41.32.114: Средства моющие для туалетов и ванных комнат; 20.41.31.130: Мыло туалетное жидкое; 20.41.32.125: Средства отбеливающие для стирки";22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских);ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 325 ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 325 ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;12.04.2024;12.04.2024;Подача заявок;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;12.04.2024;22.04.2024;
44-ФЗ;№0164200001924001162;Электронный аукцион;Поставка перчаток медицинских.;;'242682000512768200100101120012219244';;;2507100.00;RUB;;;;;"22.19.60.119: Перчатки резиновые прочие; 22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые";"22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные; 22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные";"ТАМБОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ТАМБОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ И ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;24.04.2024;
44-ФЗ;№0111200000924000168;Электронный аукцион;Поставка резиновых перчаток;;'242165400313916550100100360012219244';;;72576.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000017: Перчатки резиновые общего назначения (кроме медицинских);МИНИСТЕРСТВО ЮСТИЦИИ РЕСПУБЛИКИ ТАТАРСТАН;ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ ТАТАРСТАН ПО ЗАКУПКАМ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0369300124624000041;Электронный аукцион;Поставка медицинских изделий (перчатки);;'243743500163774580100100040020000244';;;196950.00;RUB;;;;;"22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные; 22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА С. ФЕРШАМПЕНУАЗ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РАЙОННАЯ БОЛЬНИЦА С. ФЕРШАМПЕНУАЗ""";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0318300194124000055;Запрос котировок в электронной форме;Поставка перчаток резиновых общего назначения (кроме медицинских);;'243233200156223320100100040060000244';;;199915.59;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000017: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских)";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАВКАЗСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАВКАЗСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";05.04.2024;12.04.2024;Работа комиссии;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";05.04.2024;12.04.2024;
44-ФЗ;№0372200127524000080;Электронный аукцион;"Поставка № 1 медицинских перчаток для Санкт-Петербургского государственного бюджетного учреждения здравоохранения ""Городская поликлиника № 54""";;'242780400690478040100100050160000244';;;3489600.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 54""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 54""";04.04.2024;12.04.2024;Определение поставщика отменено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;;15.04.2024;
44-ФЗ;№0818500000824002468;Электронный аукцион;Поставка изделий медицинского назначения (перчатки смотровые);;'243230301085123030100101380022219244';;;2500000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БЕЛОРЕЧЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";29.03.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";;10.04.2024;
44-ФЗ;№0335300022424000076;Запрос котировок в электронной форме;Поставка хозяйственных материалов и моющих средств;;'242390602984739060100100840010000244';;;96491.60;RUB;;;;;"20.41.32.111: Средства для мытья посуды; 20.41.32.125: Средства отбеливающие для стирки; 22.19.60.119: Перчатки резиновые прочие; 20.41.32.124: Средства для смягчения изделий из тканей; 20.41.32.129: Средства стиральные прочие; 20.41.32.121: Порошки стиральные; 20.41.32.113: Средства моющие для окон; 20.41.32.114: Средства моющие для туалетов и ванных комнат";"20.41.32.111-00000011: Средство для мытья посуды; 20.41.32.114-00000004: Средство моющее для туалетов и ванных комнат; 20.41.32.113-00000007: Средство моющее для стекол и зеркал; 20.41.32.121-00000008: Порошок стиральный; 20.41.32.124-00000002: Кондиционер для белья; 20.41.32.125-00000007: Средство отбеливающее для стирки; 20.41.32.125-00000003: Средство отбеливающее для стирки; 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских); 20.41.32.125-00000006: Средство отбеливающее для стирки";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ И МЕДИЦИНЫ КАТАСТРОФ КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ И МЕДИЦИНЫ КАТАСТРОФ КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";08.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";08.04.2024;12.04.2024;
44-ФЗ;№0318200080024000017;Электронный аукцион;Поставка изделий медицинского назначения (перчатки смотровые/процедурные);;'242232007473523200100101080012219244';;;533462.50;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные; 22.19.60.119-00000005: Перчатки смотровые/процедурные из полихлоропрена, неопудренные; 22.19.60.119-00000004: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, стерильные; 22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 2"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 2"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";01.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";;11.04.2024;
44-ФЗ;№0128200000124001920;Электронный аукцион;Перчатки;;'242330300522933030100100130012219244';;;133503.70;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные; 22.19.60.119-00000004: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, стерильные; 22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  ЗДРАВООХРАНЕНИЯ ВЛАДИМИРСКОЙ ОБЛАСТИ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ Г. ВЯЗНИКИ""";МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;12.04.2024;24.04.2024;
